                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.41894,                 0.6301,                0.95674,                0.48175,                0.71378,                0.97419,                0.91843,                  0.897,                0.96249,                0.90234,                0.33318,                0.39131,                0.87901,                0.36863,                0.40036,                0.90404,             0.00057756,             0.00057756,             0.00057756
                     26,                0.41929,                0.63252,                0.96257,                0.48071,                0.71857,                0.97853,                0.88625,                0.85372,                0.94574,                 0.9019,                0.32448,                0.40915,                0.86859,                0.34349,                0.43943,                0.88033,              0.0005755,              0.0005755,              0.0005755
                     27,                0.41014,                0.62542,                0.95562,                0.46484,                0.70657,                0.96797,                0.91239,                0.86731,                0.95174,                0.89962,                0.32982,                0.41273,                0.86723,                0.36163,                0.42907,                0.89007,             0.00057344,             0.00057344,             0.00057344
                     28,                0.40453,                0.57438,                0.95267,                0.46815,                  0.649,                0.96841,                0.90193,                0.85373,                0.94754,                0.89315,                0.33185,                0.42041,                0.87421,                0.36007,                0.42282,                0.89589,             0.00057138,             0.00057138,             0.00057138
                     29,                0.41604,                0.61477,                0.95824,                0.48324,                0.68559,                0.97521,                0.90349,                0.84936,                  0.931,                0.88041,                0.32937,                0.41259,                0.87398,                0.34764,                0.44303,                0.88791,             0.00056931,             0.00056931,             0.00056931
                     30,                0.41587,                0.60347,                0.95624,                0.47492,                0.66255,                0.97096,                0.94144,                0.86396,                 0.9644,                0.91263,                 0.3277,                0.36253,                0.87608,                0.34533,                0.36019,                0.88812,             0.00056725,             0.00056725,             0.00056725
                     31,                0.40123,                 0.5765,                0.95593,                0.46213,                0.63665,                0.97092,                0.89557,                0.86722,                0.95145,                 0.9016,                0.34204,                0.38516,                0.88602,                0.35783,                0.38486,                0.89056,             0.00056519,             0.00056519,             0.00056519
                     32,                  0.403,                0.57723,                0.95416,                0.46314,                0.64169,                0.96984,                 0.9059,                0.90277,                0.96107,                 0.9077,                0.34279,                0.36168,                0.87534,                0.35265,                0.37801,                0.87943,             0.00056313,             0.00056313,             0.00056313
                     33,                0.40464,                0.57125,                0.94996,                0.46915,                0.63369,                0.96584,                0.90277,                0.89363,                0.95622,                 0.9098,                0.31711,                0.35154,                0.86081,                0.33669,                0.34406,                0.87852,             0.00056106,             0.00056106,             0.00056106
                     34,                0.39796,                0.54999,                0.94649,                0.45881,                0.60251,                0.96295,                0.92145,                0.90813,                0.96445,                0.92076,                0.31227,                0.32102,                0.85832,                0.32854,                0.31341,                0.86395,               0.000559,               0.000559,               0.000559
